Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
-1.02225,-3.98635,0.98419,0.0,1.0,1.3553,1.35407,-0.01808,-0.08627,16153.643,15401.76855
0.75949,-0.03676,0.99168,0.0,1.0,1.3558,1.35663,-0.01274,0.17065,4518.978,4119.39111
-0.00369,-2.02149,0.98558,-0.0,1.0,1.3537,1.35134,-0.01196,-0.01732,1136.0707,1271.60352
-0.55433,-3.70453,0.98998,-0.0,1.0,1.3501,1.34816,-0.00968,-0.15495,4575.279,3587.0835
0.08551,-2.39383,0.99168,0.0,1.0,1.3507,1.35321,-0.00678,-0.06329,3266.886,3292.00903
0.55629,-1.22954,0.99088,-0.0,1.0,1.3544,1.35382,-0.00341,-0.01909,2878.1938,2865.06787
0.01922,-4.02125,0.99218,-0.0,1.0,1.3519,1.35092,-0.01533,-0.05097,5782.9595,5591.11426
0.8006,0.15888,0.99158,0.0,1.0,1.3526,1.35344,-0.00874,0.00504,5053.8486,4939.80664
-0.26377,-5.09196,0.99108,-0.0,1.0,1.3499,1.34744,-0.0311,-0.02602,8568.424,10118.37598
0.64836,-0.55455,0.99168,0.0,1.0,1.3448,1.34233,-0.00806,0.10287,3290.9292,2980.52173
0.19092,-1.78979,0.99208,0.0,1.0,1.3435,1.34497,-0.00402,0.00492,1592.3407,1418.39929
0.38611,-3.96997,0.99168,-0.0,1.0,1.3448,1.34415,-0.00907,-0.19637,3211.9011,2545.25879
0.64715,-0.36274,0.99178,0.0,1.0,1.3444,1.34462,-0.00525,-0.12196,3101.4087,3222.31079
0.11602,-1.65011,0.99178,-0.0,1.0,1.3413,1.33904,-0.02416,0.06246,917.98566,1019.8064
0.09733,-1.88861,0.99088,-0.0,1.0,1.3368,1.33672,-0.01074,0.02509,1344.8237,1470.32715
0.42266,-1.82601,0.99168,0.0,1.0,1.3355,1.33467,-0.00258,0.17312,1919.9344,1656.25879
0.05257,-2.70866,0.98968,-0.0,1.0,1.3309,1.32827,-0.01756,0.07718,1344.8704,1424.89929
0.81595,-0.00069,0.99198,0.0,1.0,1.3299,1.33164,-0.00832,-0.13286,4673.046,4936.6748
0.56941,-1.37646,0.99188,-0.0,1.0,1.3285,1.32579,-0.00539,-0.07272,2185.978,2325.29883
0.79621,-0.18517,0.99188,-0.0,1.0,1.3256,1.32456,-0.00552,-0.02493,4570.7954,4617.50098
-0.1254,-6.12267,0.99148,0.0,1.0,1.3213,1.31894,-0.02424,-0.0655,8773.898,7668.99072
0.76623,-0.11124,0.99198,0.0,1.0,1.3187,1.31787,-0.00512,-0.0356,3992.841,3996.72485
0.58772,-1.17659,0.99188,0.0,1.0,1.3175,1.31669,-0.00719,0.06747,2367.2402,2157.87964
-0.13808,-5.30031,0.99158,-0.0,1.0,1.3159,1.31566,-0.00619,0.08994,7180.846,7445.08154
0.52378,-0.8456,0.99158,0.0,1.0,1.3137,1.3118,-0.00722,0.04063,2056.1616,1982.55029
0.51995,-1.46186,0.99198,-0.0,1.0,1.3095,1.30853,-0.01328,-0.17719,1968.7836,2219.95874
0.7457,-0.64685,0.99168,-0.0,1.0,1.3078,1.30689,-0.00295,0.03712,3710.804,3652.26685
0.65355,-0.98868,0.99188,-0.0,1.0,1.3054,1.30305,-0.01118,-0.03549,2898.628,2866.04004
0.75475,-0.6993,0.99218,0.0,1.0,1.3016,1.30057,-0.00527,0.00283,3630.5098,3519.60962
0.69969,-0.83421,0.99208,0.0,1.0,1.2989,1.2975,-0.0034,0.07471,3835.5806,3631.3667
0.25463,-1.88999,0.98928,-0.0,1.0,1.2994,1.30127,-0.01139,-0.03412,1760.5372,1677.99182
0.62768,-0.19528,0.99218,0.0,1.0,1.3033,1.30386,-0.0091,-0.1431,2330.6978,2409.75903
-0.04592,-4.57371,0.99168,0.0,1.0,1.2999,1.29648,-0.0225,-0.01846,4471.7573,4760.3252
0.39564,-1.52596,0.99108,0.0,1.0,1.2978,1.29788,-0.01137,-0.14776,1318.0157,1402.77039
0.40266,-3.61776,0.99188,-0.0,1.0,1.2935,1.28939,-0.00401,-0.23133,2143.7368,2374.59961
-0.70328,-4.6024,0.99198,0.0,1.0,1.2877,1.28619,-0.01055,0.02178,10715.786,10817.29395
0.58691,-1.16177,0.99178,-0.0,1.0,1.2872,1.28716,-0.00503,0.11906,3203.3936,2863.7583
-0.63465,-5.83298,0.99208,-0.0,1.0,1.2842,1.28277,-0.02364,-0.08408,13813.873,11261.34082
0.42814,-2.06904,0.99188,0.0,1.0,1.2818,1.28249,-0.0073,0.12482,1352.8982,1126.26294
-0.85137,-6.24551,0.99218,-0.0,1.0,1.2803,1.27876,-0.02798,0.11666,21714.363,24280.25195
0.84499,0.12174,0.99218,-0.0,1.0,1.2783,1.27752,-0.00672,-0.14216,4295.5806,4492.96777
0.36474,-2.3714,0.98898,0.0,1.0,1.2753,1.2736,-0.00281,0.02529,2345.6284,2436.94556
-0.1279,-5.04136,0.98918,-0.0,1.0,1.2721,1.27083,-0.00624,0.01518,3238.092,3004.15503
0.06116,-4.52182,0.99158,0.0,1.0,1.268,1.2663,-0.01214,-0.15798,2738.28,2406.66064
0.36566,-1.9142,0.98948,0.0,1.0,1.2648,1.26415,-0.01054,-0.01045,2064.8127,2019.33447
0.66272,-1.08586,0.99158,0.0,1.0,1.2616,1.25883,-0.00677,0.08059,2434.5977,2196.19507
0.50063,-0.87589,0.99018,-0.0,1.0,1.2551,1.25179,-0.00454,-0.0569,1173.8616,1219.9989
0.59795,-1.8178,0.99188,0.0,1.0,1.2519,1.25241,-0.00529,0.10365,2505.1094,2212.53198
0.69291,-0.63585,0.99218,-0.0,1.0,1.2523,1.25166,-0.00532,-0.22877,2432.3987,2639.68164
0.335,-2.92403,0.99138,-0.0,1.0,1.2479,1.24442,-0.00743,-0.10921,1981.4238,1818.96973
-0.46517,-4.85097,0.99058,-0.0,1.0,1.2446,1.24362,-0.01326,0.06038,12089.641,11560.72754
0.45459,-2.25182,0.99188,0.0,1.0,1.2427,1.24159,-0.01604,-0.09791,1379.1263,1252.84583
0.75885,-0.18751,0.99208,0.0,1.0,1.2403,1.23889,-0.00461,0.02451,2302.6228,2126.33691
0.75591,-0.27299,0.99198,0.0,1.0,1.2404,1.24134,-0.00941,-0.12079,2229.8926,2201.1687
0.49795,-2.30436,0.98988,0.0,1.0,1.2411,1.2407,-0.00351,0.10662,907.16766,864.72034
0.10987,-5.68301,0.99118,-0.0,1.0,1.2412,1.24164,-0.01005,0.01854,7735.505,7387.6748
-0.00692,-4.31142,0.99108,-0.0,1.0,1.2443,1.24626,-0.01497,0.20353,4370.2295,5835.43994
0.5664,-1.79728,0.99218,-0.0,1.0,1.2433,1.24128,-0.01286,0.10583,1134.7926,1048.87036
0.54741,-1.51099,0.99188,-0.0,1.0,1.2414,1.24049,-0.0143,-0.27553,1778.4609,2158.49805
-0.18536,-4.66112,0.99208,-0.0,1.0,1.238,1.23737,-0.01757,-0.03152,6819.848,5577.60254
0.66141,-1.45342,0.99208,-0.0,1.0,1.2354,1.23291,-0.00342,0.12478,1440.9309,1260.58521
0.82814,0.03813,0.99198,0.0,1.0,1.2315,1.2294,-0.00719,-0.14288,2214.8423,2287.50708
0.81164,-0.04477,0.99178,0.0,1.0,1.23,1.23056,-0.00895,-0.0183,1970.1353,1894.95007
0.83645,0.10313,0.99208,0.0,1.0,1.2318,1.23175,-0.00485,-0.00601,1889.2228,1726.823
0.68899,-0.45187,0.99218,0.0,1.0,1.2317,1.23021,-0.00786,0.01699,817.3411,678.8186
0.32192,-1.15559,0.99188,0.0,1.0,1.229,1.22882,-0.00337,-0.04306,438.59973,431.88071
0.61971,-1.4091,0.99218,-0.0,1.0,1.2304,1.23058,-0.00541,0.2711,869.9403,850.78186
0.81597,-0.52631,0.99178,-0.0,1.0,1.2315,1.23155,-0.00382,-0.18391,1368.5094,1359.86694
-0.47286,-5.38144,0.99108,-0.0,1.0,1.2284,1.22619,-0.01828,0.04345,13841.034,14230.57227
0.31459,-2.34352,0.99128,0.0,1.0,1.2261,1.22721,-0.00307,-0.00861,2485.359,2479.50977
0.76816,-0.08898,0.99078,0.0,1.0,1.2254,1.22325,-0.00542,0.15375,1102.2415,862.91272
-0.60744,-5.57233,0.99143,0.0,1.0,1.2198,1.21769,-0.02172,0.0754,17328.367,18169.15625
0.70838,-0.5622,0.99138,-0.0,1.0,1.2176,1.21747,-0.00828,-0.0508,1132.1489,1084.36731
0.31492,-1.82165,0.99068,0.0,1.0,1.2158,1.21396,-0.00404,0.02735,918.33826,956.71338
0.23888,-5.05693,0.99118,-0.0,1.0,1.2171,1.21949,-0.00856,-0.18177,5801.097,4159.04492
0.18125,-2.16336,0.99078,0.0,1.0,1.2218,1.22317,-0.01202,0.17404,3016.1099,3275.45605
-0.13733,-5.45182,0.99218,0.0,1.0,1.2208,1.21832,-0.00833,-0.25155,6336.322,3789.78613
-0.97896,-3.57933,0.98238,-0.0,1.0,1.2213,1.22364,-0.01918,-0.00894,15355.6875,14955.84375
0.56414,-1.14859,0.98848,0.0,1.0,1.2222,1.22074,-0.00325,-0.15991,982.4503,960.83038
0.31941,-1.7713,0.99188,-0.0,1.0,1.2171,1.21443,-0.01451,0.08373,707.54205,837.70587
-0.13277,-3.95627,0.99218,-0.0,1.0,1.2113,1.20944,-0.01893,-0.16062,5111.8555,3519.16577
0.02985,-2.63771,0.99198,0.0,1.0,1.2071,1.20577,-0.01413,-0.21405,2155.2798,1363.69507
0.38758,-1.64824,0.99168,0.0,1.0,1.2082,1.20995,-0.00784,-0.12004,646.46906,615.75226
0.54006,-1.40718,0.99098,-0.0,1.0,1.2085,1.2075,-0.00515,-0.0494,967.8861,1004.71777
0.72227,-0.15932,0.98758,-0.0,1.0,1.2073,1.20619,-0.01317,0.08704,1388.1991,1220.9054
-0.2211,-2.08336,0.99148,0.0,1.0,1.2055,1.20611,-0.01497,-0.27384,3581.0374,2452.31689
0.62429,-0.37819,0.99158,-0.0,1.0,1.2062,1.20642,-0.00489,-0.02085,889.8573,875.07513
-0.13425,-5.3651,0.99208,-0.0,1.0,1.2041,1.20312,-0.01033,0.08388,9581.484,10174.76172
0.14561,-2.48989,0.99168,0.0,1.0,1.2046,1.20484,-0.00752,0.05698,3060.2341,2971.67725
0.23929,-4.04282,0.99138,0.0,1.0,1.2057,1.20765,-0.00692,-0.1172,2698.224,1803.95728
0.47209,-0.70677,0.98928,-0.0,1.0,1.2075,1.20738,-0.00816,0.15085,594.86194,446.73334
0.68128,-0.9762,0.99148,-0.0,1.0,1.2058,1.20431,-0.00359,0.10545,1341.9026,1165.28394
0.73305,-0.34612,0.99098,-0.0,1.0,1.2024,1.20043,-0.00546,-0.10707,1344.5786,1233.92603
0.56182,-1.31756,0.99158,0.0,1.0,1.201,1.20111,-0.00618,-0.0161,1719.3203,1590.07861
0.49685,-1.34565,0.99168,-0.0,1.0,1.2028,1.20366,-0.00544,0.01098,499.6621,432.69397
0.07154,-5.14377,0.99078,-0.0,1.0,1.2019,1.20191,-0.0142,-0.07071,6147.946,5154.25488
0.80242,-0.00846,0.99148,0.0,1.0,1.201,1.20049,-0.0061,-0.06624,1484.768,1313.32068
-0.02284,-5.15278,0.98918,-0.0,1.0,1.1989,1.1976,-0.01301,-0.24684,4248.459,1703.48999
0.72911,-3.90904,0.98808,0.0,1.0,1.1974,1.1965,-0.00678,-0.10669,1279.3938,1080.9834
-0.41443,-4.37839,0.99075,0.0,1.0,1.1961,1.19701,-0.00989,-0.12959,7893.5806,6813.13672
0.36582,-2.48923,0.99018,-0.0,1.0,1.1933,1.18985,-0.00363,0.11826,1453.6852,1652.23279
0.72905,-0.77329,0.99158,-0.0,1.0,1.1868,1.18437,-0.00186,-0.04193,1028.8734,883.36823
0.83995,0.3161,0.99218,0.0,1.0,1.1842,1.18331,-0.00378,0.05125,1409.8258,1188.61304
0.70757,-0.46692,0.99218,-0.0,1.0,1.1809,1.17904,-0.00563,0.07434,519.8289,374.33282
-0.02817,-4.49453,0.99188,-0.0,1.0,1.1782,1.17848,-0.0158,-0.08791,6911.501,6488.44141
0.27875,-3.4631,0.99188,0.0,1.0,1.176,1.17534,-0.02289,0.1624,3572.4734,4330.28516
0.51756,-1.97019,0.99118,0.0,1.0,1.1742,1.17436,-0.01162,0.0661,925.9336,831.2868
0.61515,-0.61267,0.99068,0.0,1.0,1.172,1.16956,-0.00202,0.09407,379.5327,308.93414
0.53282,-1.13219,0.99048,-0.0,1.0,1.1696,1.16953,-0.00797,-0.06153,1112.6039,958.14124
0.4548,-1.22289,0.99218,-0.0,1.0,1.1689,1.16945,-0.00997,-0.19468,1158.2008,995.16199
0.23894,-4.08912,0.98898,0.0,1.0,1.1695,1.16812,-0.01098,-0.04318,3224.8057,3079.77295
0.56423,-1.37553,0.99168,0.0,1.0,1.1658,1.1646,-0.00795,-0.14766,637.2875,579.86121
0.86667,0.28478,0.99198,-0.0,1.0,1.1667,1.16864,-0.00841,-0.03878,1714.1478,1664.49231
0.11515,-2.02486,0.98988,-0.0,1.0,1.1654,1.16239,-0.01194,-0.12686,3050.0996,2366.13672
-0.45397,-4.19161,0.99049,0.0,1.0,1.1635,1.16587,-0.00529,0.04682,10878.427,11457.59766
0.47797,-1.6003,0.99014,0.0,1.0,1.1641,1.16154,-0.0081,0.03881,763.9558,831.48346
0.71915,-0.99124,0.99168,-0.0,1.0,1.1607,1.16004,-0.00653,-0.10336,988.6359,887.27478
-1.21228,-5.14424,0.99088,-0.0,1.0,1.1587,1.15799,-0.02952,-0.15961,32161.135,27203.16016
0.58723,-1.21369,0.99051,0.0,1.0,1.1579,1.1582,-0.00833,-0.02872,971.05194,965.37158
